epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.554,1.04915,0.92533,1,0.24326,0.000368875,0.000368875,0.000368875
2,75.4364,0.44823,0.944,1,0.16264,0.000702618,0.000702618,0.000702618
3,112.208,0.36716,0.928,1,0.22792,0.000999697,0.000999697,0.000999697
4,148.689,0.3168,0.94667,1,0.14767,0.000946016,0.000946016,0.000946016
5,183.841,0.29714,0.98267,1,0.05957,0.000891022,0.000891022,0.000891022
6,220.328,0.21859,0.98533,1,0.06135,0.000836027,0.000836027,0.000836027
7,256.53,0.20657,0.976,1,0.08528,0.000781033,0.000781033,0.000781033
8,292.814,0.2106,0.98667,1,0.05731,0.000726038,0.000726038,0.000726038
9,329.341,0.18852,0.99333,1,0.04389,0.000671044,0.000671044,0.000671044
10,365.53,0.18859,0.99067,1,0.05444,0.000616049,0.000616049,0.000616049
11,401.352,0.17279,0.99067,1,0.0449,0.000561055,0.000561055,0.000561055
12,437.972,0.14896,0.99467,1,0.04288,0.00050606,0.00050606,0.00050606
13,474.427,0.14492,0.988,1,0.04944,0.000451066,0.000451066,0.000451066
14,512.201,0.15604,0.98933,1,0.04854,0.000396071,0.000396071,0.000396071
15,547.599,0.12253,0.99067,1,0.04266,0.000341077,0.000341077,0.000341077
16,583.949,0.1284,0.992,1,0.04473,0.000286083,0.000286083,0.000286083
17,620.053,0.13211,0.988,1,0.05409,0.000231088,0.000231088,0.000231088
18,655.247,0.11473,0.992,1,0.03618,0.000176094,0.000176094,0.000176094
19,691.453,0.10348,0.99067,1,0.0403,0.000121099,0.000121099,0.000121099
20,728.83,0.11423,0.992,1,0.03448,6.61045e-05,6.61045e-05,6.61045e-05
